Music,Slow songs or fast songs,Dance,Folk,Country,Classical music,Musical,Pop,Rock,Metal or Hardrock,Punk,"Hiphop, Rap","Reggae, Ska","Swing, Jazz",Rock n roll,Alternative,Latino,"Techno, Trance",Opera,Movies,Horror,Thriller,Comedy,Romantic,Sci-fi,War,Fantasy/Fairy tales,Animated,Documentary,Western,Action,History,Psychology,Politics,Mathematics,Physics,Internet,PC,Economy Management,Biology,Chemistry,Reading,Geography,Foreign languages,Medicine,Law,Cars,Art exhibitions,Religion,"Countryside, outdoors",Dancing,Musical instruments,Writing,Passive sport,Active sport,Gardening,Celebrities,Shopping,Science and technology,Theatre,Fun with friends,Adrenaline sports,Pets,Flying,Storm,Darkness,Heights,Spiders,Snakes,Rats,Ageing,Dangerous dogs,Fear of public speaking,Smoking,Alcohol,Healthy eating,Daily events,Prioritising workload,Writing notes,Workaholism,Thinking ahead,Final judgement,Reliability,Keeping promises,Loss of interest,Friends versus money,Funniness,Fake,Criminal damage,Decision making,Elections,Self-criticism,Judgment calls,Hypochondria,Empathy,Eating to survive,Giving,Compassion to animals,Borrowed stuff,Loneliness,Cheating in school,Health,Changing the past,God,Dreams,Charity,Number of friends,Punctuality,Lying,Waiting,New environment,Mood swings,Appearence and gestures,Socializing,Achievements,Responding to a serious letter,Children,Assertiveness,Getting angry,Knowing the right people,Public speaking,Unpopularity,Life struggles,Happiness in life,Energy levels,Small - big dogs,Personality,Finding lost valuables,Getting up,Interests or hobbies,Parents' advice,Questionnaires or polls,Internet usage,Finances,Shopping centres,Branded clothing,Entertainment spending,Spending on looks,Spending on gadgets,Spending on healthy eating,Age,Height,Weight,Number of siblings,Gender,Left - right handed,Education,Only child,Village - town,House - block of flats
5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,1.0,2.0,2.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,5.0,5.0,1.0,1.0,3.0,5.0,2.0,5.0,5.0,4.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,3.0,4.0,5.0,1.0,5.0,3.0,4.0,5.0,4.0,1.0,4.0,0.0,1.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,1.0,3.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,1.0,0.0,4.0,2.0,1.0,5.0,3.0,4.0,4.0,23.0,165.0,60.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0
4.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,1.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,5.0,3.0,1.0,3.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,5.0,0.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,17.0,182.0,84.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
5.0,3.0,3.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,1.0,1.0,4.0,4.0,2.0,1.0,5.0,4.0,3.0,1.0,3.0,5.0,1.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,4.0,2.0,1.0,5.0,4.0,5.0,3.0,5.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,5.0,5.0,3.0,1.0,5.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,0.0,1.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,5.0,5.0,4.0,3.0,1.0,5.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,1.0,0.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,18.0,173.0,65.0,3.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,1.0,3.0,4.0,5.0,3.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,1.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,5.0,5.0,4.0,3.0,4.0,3.0,5.0,1.0,1.0,3.0,4.0,4.0,5.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,2.0,2.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,5.0,2.0,5.0,4.0,1.0,4.0,2.0,1.0,5.0,1.0,2.0,5.0,4.0,3.0,5.0,2.0,2.0,2.0,5.0,4.0,1.0,5.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,4.0,1.0,3.0,0.0,1.0,4.0,5.0,5.0,4.0,4.0,5.0,26.0,183.0,90.0,5.0,1.0,0.0,4.0,0.0,0.0,1.0
2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,5.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,4.0,3.0,3.0,1.0,1.0,2.0,4.0,3.0,4.0,5.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,22.0,186.0,65.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0
5.0,4.0,2.0,3.0,2.0,5.0,4.0,2.0,5.0,4.0,5.0,1.0,3.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,1.0,5.0,3.0,4.0,5.0,3.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,1.0,4.0,3.0,5.0,5.0,1.0,5.0,3.0,5.0,1.0,2.0,1.0,3.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,1.0,5.0,2.0,4.0,1.0,3.0,5.0,3.0,3.0,1.0,5.0,1.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,2.0,2.0,1.0,2.0,4.0,5.0,5.0,4.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,22.0,170.0,60.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,2.0,4.0,1.0,2.0,5.0,1.0,3.0,3.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,1.0,5.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,5.0,2.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,2.0,0.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,4.0,25.0,165.0,75.0,2.0,1.0,1.0,3.0,0.0,0.0,1.0
5.0,3.0,3.0,1.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,3.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,5.0,1.0,5.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,3.0,4.0,1.0,3.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,5.0,3.0,4.0,5.0,3.0,1.0,5.0,3.0,1.0,3.0,5.0,3.0,4.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,1.0,3.0,2.0,5.0,3.0,4.0,2.0,0.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,21.0,177.0,73.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,4.0,3.0,1.0,5.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,5.0,2.0,5.0,3.0,3.0,5.0,5.0,1.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,1.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0,4.0,1.0,5.0,2.0,5.0,5.0,3.0,2.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,5.0,2.0,4.0,3.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,2.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,5.0,5.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,5.0,3.0,5.0,5.0,4.0,3.0,4.0,0.0,0.0,2.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,4.0,0.0,4.0,3.0,1.0,2.0,4.0,5.0,4.0,18.0,170.0,75.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,5.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,1.0,4.0,5.0,2.0,4.0,3.0,3.0,5.0,3.0,5.0,4.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,3.0,5.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,3.0,5.0,2.0,4.0,3.0,4.0,3.0,15.0,160.0,51.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
5.0,3.0,2.0,4.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,5.0,3.0,4.0,1.0,3.0,1.0,5.0,1.0,5.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0,5.0,5.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,5.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,17.0,175.0,64.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0
5.0,3.0,5.0,5.0,2.0,5.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,1.0,3.0,2.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,4.0,5.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,2.0,5.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,3.0,0.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,1.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,4.0,4.0,5.0,3.0,1.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,22.0,175.0,86.0,6.0,0.0,1.0,3.0,0.0,1.0,0.0
5.0,3.0,2.0,4.0,1.0,5.0,5.0,5.0,5.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,1.0,4.0,2.0,3.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,3.0,4.0,2.0,2.0,1.0,5.0,2.0,5.0,2.0,5.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,5.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,1.0,5.0,5.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,5.0,3.0,4.0,3.0,4.0,5.0,2.0,1.0,2.0,1.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,1.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0,4.0,5.0,4.0,2.0,0.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,21.0,168.0,49.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
5.0,4.0,5.0,2.0,1.0,3.0,4.0,5.0,3.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0,1.0,2.0,4.0,5.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,5.0,1.0,3.0,1.0,4.0,2.0,4.0,5.0,4.0,1.0,1.0,5.0,4.0,4.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,2.0,3.0,2.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,5.0,4.0,1.0,2.0,4.0,5.0,4.0,5.0,4.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,5.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,0.0,1.0,5.0,4.0,3.0,5.0,2.0,3.0,21.0,162.0,51.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
5.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,5.0,5.0,3.0,1.0,2.0,5.0,2.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,5.0,3.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,4.0,5.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,1.0,5.0,3.0,2.0,2.0,2.0,5.0,5.0,4.0,2.0,4.0,1.0,3.0,2.0,5.0,2.0,5.0,4.0,4.0,5.0,3.0,1.0,3.0,2.0,1.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,1.0,0.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,19.0,171.0,49.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0
4.0,4.0,2.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,4.0,3.0,1.0,5.0,2.0,0.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,5.0,1.0,1.0,0.0,1.0,2.0,3.0,5.0,4.0,4.0,2.0,26.0,186.0,98.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0
5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,1.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,5.0,4.0,5.0,5.0,4.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,5.0,1.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,5.0,3.0,1.0,5.0,3.0,3.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,1.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,26.0,172.0,80.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0
5.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,5.0,3.0,5.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,2.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,1.0,3.0,3.0,4.0,3.0,0.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,25.0,183.0,84.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0
5.0,3.0,5.0,3.0,3.0,5.0,5.0,2.0,3.0,1.0,2.0,5.0,5.0,5.0,3.0,2.0,5.0,5.0,3.0,5.0,1.0,3.0,3.0,5.0,1.0,5.0,2.0,3.0,5.0,3.0,2.0,2.0,4.0,1.0,1.0,4.0,4.0,1.0,2.0,5.0,5.0,3.0,3.0,5.0,5.0,1.0,1.0,4.0,5.0,1.0,5.0,1.0,1.0,4.0,5.0,1.0,2.0,4.0,5.0,4.0,5.0,5.0,4.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,1.0,1.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,5.0,1.0,5.0,5.0,2.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,3.0,1.0,5.0,3.0,1.0,5.0,2.0,1.0,2.0,5.0,2.0,5.0,2.0,4.0,3.0,5.0,5.0,1.0,4.0,5.0,3.0,2.0,5.0,5.0,3.0,3.0,3.0,5.0,4.0,3.0,1.0,0.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,19.0,159.0,52.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0
5.0,5.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,2.0,2.0,1.0,3.0,4.0,4.0,5.0,3.0,2.0,3.0,1.0,3.0,4.0,2.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,5.0,5.0,3.0,1.0,4.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,3.0,0.0,1.0,3.0,1.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,1.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,3.0,5.0,3.0,5.0,1.0,3.0,3.0,4.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,0.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,20.0,197.0,100.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0
5.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,4.0,5.0,5.0,4.0,3.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,5.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,4.0,0.0,4.0,4.0,3.0,4.0,2.0,2.0,3.0,18.0,192.0,91.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0
